id;first_name;last_name;date_of_birth;gender;phone_number;address
1;María José;Luevano;2023-11-17;c;GB Rand;flexibilidad compressing
2;Alicia;Bermúdez;2023-11-16;n;Account drive Refinado;Silla Bedfordshire
3;Teodoro;Baeza;2023-11-17;C;y open-source ejecutiva;Deportes
4;Micaela;Preciado;2023-11-17;g;up experiences Turquia;Andalucía invoice Ladrillo
5;Elisa;Pulido;2023-11-17;E;Pound Cine program;mindshare driver Gerente
6;Diana;Batista;2023-11-17;R;Cantabria Web indexing;Rústico
7;Teresa;Durán;2023-11-17;s;canal world-class Account;éxito
8;Micaela;Montes;2023-11-17;n;Supervisor cross-platform;Platinum RAM
9;Rocío;Chavarría;2023-11-17;L;input models;enable generate
10;Salvador;Cotto;2023-11-17;M;secundaria;Acero Buckinghamshire
