id;first_name;last_name;email;phone_number;date_of_birth;gender
1;Ester;Baeza;ngela.Salas@yahoo.com;Adelante Rojo Azul;2023-11-17;L
2;Rocío;Arriaga;MaraEugenia_Ibarra@gmail.com;Joyería Violeta adaptador;2023-11-17;P
3;Diego;Huerta;JulioCsar_Echevarra@yahoo.com;Madera;2023-11-17;I
4;Rocío;Otero;Mario_Chavarra@gmail.com;de;2023-11-17;m
5;Samuel;Paredes;Luis_Orta@yahoo.com;generating enfoque;2023-11-17;h
6;Diego;Yáñez;Antonia_Gurule@gmail.com;Botswana Savings Cliente;2023-11-17;D
7;Alicia;Gaona;Hernn.Jaimes16@gmail.com;Director architectures Rusia;2023-11-17;s
8;Elena;Griego;Jos_Leal22@hotmail.com;recontextualize;2023-11-17;I
9;Alejandra;Monroy;Sofa71@yahoo.com;cross-platform Ladrillo;2023-11-17;o
10;César;Véliz;AnaLuisa82@yahoo.com;payment Borders migración;2023-11-17;B
